,name,similarity,tittle_resume,alternate_url,resume_url
0,Java-разработчик,0.9873721970342271,Java-разработчик,https://hh.ru/vacancy/79972665,https://gorodrabot.ru/resume/5334430
1,Java разработчик,0.9770898463752431,Java-разработчик,https://hh.ru/vacancy/78554763,https://gorodrabot.ru/resume/5334430
2,Разработчик Java,0.9753963097030125,Java-разработчик,https://hh.ru/vacancy/80003657,https://gorodrabot.ru/resume/5334430
3,Java-разработчик,0.9750710739499923,Java-разработчик,https://hh.ru/vacancy/79178095,https://gorodrabot.ru/resume/5334430
4,Java разработчик,0.9703028270950872,Java-разработчик,https://hh.ru/vacancy/79965094,https://gorodrabot.ru/resume/5334430
5,Java-разработчик,0.9698472839255288,Java-разработчик,https://hh.ru/vacancy/79894994,https://gorodrabot.ru/resume/5334430
6,Java-разработчик,0.9641640546777035,Java-разработчик,https://hh.ru/vacancy/80081653,https://gorodrabot.ru/resume/5334430
7,Java-разработчик,0.960406200159168,Java-разработчик,https://hh.ru/vacancy/79707814,https://gorodrabot.ru/resume/5334430
8,Java разработчик автоматизированных тестов,0.9519703713991445,Java-разработчик,https://hh.ru/vacancy/79615723,https://gorodrabot.ru/resume/5334430
9,Java разработчик,0.9459063260911857,Java-разработчик,https://hh.ru/vacancy/79725153,https://gorodrabot.ru/resume/5334430
